GF,GA,Pts,GD
95,23,98,72
89,22,97,67
63,39,72,24
67,39,71,28
73,51,70,22
65,54,66,11
47,46,57,1
54,46,54,8
51,48,52,3
52,55,52,-3
52,59,50,-7
51,53,49,-2
42,48,45,-6
56,70,45,-14
45,68,40,-23
45,65,39,-20
35,60,36,-25
34,69,34,-35
34,81,26,-47
22,76,16,-54