GF,GA,Pts,GD
85,33,99,52
102,35,81,67
66,36,66,30
69,54,66,15
67,41,62,26
61,47,59,14
51,40,59,11
56,48,56,8
39,39,54,0
43,50,54,-7
51,60,52,-9
44,56,49,-12
38,58,44,-20
31,50,43,-19
39,54,41,-15
49,62,39,-13
41,67,35,-26
40,65,34,-25
36,64,34,-28
26,75,21,-49